task_type,route_id,queries,success_rate,abstention_rate,mean_gpu_joules,energy_coverage,execution_failure_rate
multi_hop,A04_small_direct,15,0.0,0.0,259.44164523312503,1.0,0.0
multi_hop,A08_tiny_memory_flat,15,0.0,0.0,151.0342137744032,1.0,0.0
multi_hop,A09_tiny_memory_hier,15,0.0,0.0,177.5626684396376,1.0,0.0
multi_hop,A10_tiny_memory_graph,15,0.0,0.0,177.14229602594898,1.0,0.0
multi_hop,A12_small_hybrid_both,15,0.0,0.0,259.1941785933117,1.0,0.0
multi_hop,A13_small_hybrid_verified,15,0.0,1.0,260.46817361918,1.0,0.0
multi_hop,A14_upper_hybrid_verified,15,0.26666666666666666,0.26666666666666666,322.45188480040645,1.0,0.0
multi_hop,M16_tiny_grounded_verified,15,0.0,1.0,199.9296032353049,1.0,0.0
multi_hop,M17_granite_direct,15,0.0,1.0,29.68834972866811,1.0,0.0
multi_hop,M18_granite_grounded_verified,15,0.0,0.0,229.2685602296707,1.0,0.0
multi_hop,M19_peer_direct,15,0.0,0.0,128.06404195571625,1.0,0.0
multi_hop,M20_peer_grounded_verified,15,0.0,0.0,149.99764749560364,1.0,0.0
multi_hop,M21_upper_direct,15,0.0,1.0,84.29464766533549,1.0,0.0
no_retrieval,A00_tiny_direct,15,1.0,0.0,45.634900789137724,1.0,0.0
no_retrieval,A01_tiny_bm25,15,0.0,0.3333333333333333,154.6759957897348,1.0,0.0
no_retrieval,A02_tiny_dense,15,0.0,0.2,153.97320271869114,1.0,0.0
no_retrieval,A03_tiny_hybrid,15,0.0,0.0,158.88843049687148,1.0,0.0
no_retrieval,A04_small_direct,15,0.0,0.0,254.28569858084074,1.0,0.0
no_retrieval,A08_tiny_memory_flat,15,0.0,0.06666666666666667,162.69135161825997,1.0,0.0
no_retrieval,A09_tiny_memory_hier,15,0.0,0.5333333333333333,186.43881031094557,1.0,0.0
no_retrieval,A10_tiny_memory_graph,15,0.0,0.5333333333333333,186.67251617684505,1.0,0.0
no_retrieval,A12_small_hybrid_both,15,0.0,0.0,257.62232564306015,1.0,0.0
no_retrieval,A13_small_hybrid_verified,15,0.0,1.0,262.4360728696034,1.0,0.0
no_retrieval,A14_upper_hybrid_verified,15,0.0,1.0,123.85202863796884,1.0,0.0
no_retrieval,M16_tiny_grounded_verified,15,0.0,1.0,183.32970611409084,1.0,0.0
no_retrieval,M17_granite_direct,15,0.6666666666666666,0.3333333333333333,93.78173879823439,1.0,0.0
no_retrieval,M18_granite_grounded_verified,15,0.0,1.0,83.35159200911782,1.0,0.0
no_retrieval,M19_peer_direct,15,0.8666666666666667,0.0,86.95747170179946,1.0,0.0
no_retrieval,M20_peer_grounded_verified,15,0.0,0.26666666666666666,158.70260078436075,1.0,0.0
no_retrieval,M21_upper_direct,15,0.06666666666666667,0.9333333333333333,94.11298314189028,1.0,0.0
temporal_update,A00_tiny_direct,15,0.0,0.0,59.14058998567876,1.0,0.0
temporal_update,A01_tiny_bm25,15,0.0,0.0,152.00529233535173,1.0,0.0
temporal_update,A02_tiny_dense,15,0.0,0.0,152.76620240940474,1.0,0.0
temporal_update,A03_tiny_hybrid,15,0.0,0.0,135.95145083153753,1.0,0.0
temporal_update,A04_small_direct,15,0.0,0.0,257.46359032300774,1.0,0.0
